"","Activated_B_cell","Activated_CD4_T_cell","Activated_CD8_T_cell","Central_memory_CD4_T_cell","Central_memory_CD8_T_cell","Effector_memory_CD4_T_cell","Effector_memory_CD8_T_cell","Regulatory_T_cell","T_follicular_helper_cell","Type_1_T_helper_cell","Type_2_T_helper_cell","Type_17_T_helper_cell","Activated_dendritic_cell","Immature_dendritic_cell","Plasmacytoid_dendritic_cell","Macrophage","M1_Macrophage","M2_Macrophage","Monocyte","Natural_killer_cell","Neutrophil","Mast_cell","Eosinophil","MDSC","Natural_killer_T_cell"
"CENPA",-0.180828959223261,-0.206368873760266,-0.231909865620913,-0.315094878042943,-0.268191555201236,-0.315101471931965,-0.279479168142576,0.00412523245971551,-0.170458229218994,-0.0931627455378864,-0.219631283321423,-0.214576446500392,-0.0991898314523417,-0.327790036804503,0.0441910578513958,-0.254163929358084,-0.12454087687165,-0.301190441461255,-0.405801872115071,-0.27513251362743,-0.158072332292514,-0.0930935321958561,-0.254662257280347,-0.219112215575685,-0.218208374683591
"DUSP1",0.170587820555092,0.3825513029754,0.242877790206954,0.384062346439222,0.262683611716591,0.357635596409262,0.275800501723554,0.10172721171687,0.174466773315982,0.115917984828095,0.330817543473227,0.508811863744697,0.0554415187053024,0.309799183809331,-0.149080577218856,0.540579621481936,0.347056752036936,0.629804421605148,0.639543768875207,0.38658620288522,0.32338291333961,0.133974359105303,0.333538109531342,0.479922341001831,0.181194794718034
"SLC1A4",-0.255115557078319,-0.477636077670871,-0.283507075331588,-0.364900754396593,-0.274669395381849,-0.369809376764374,-0.31848438172802,-0.250791563177788,-0.206531718169224,-0.300275905256248,-0.457759094902507,-0.441344112565077,-0.113644547407857,-0.386172718459917,0.216151409763926,-0.440718257169273,-0.385320553710717,-0.500428753254045,-0.510708927391432,-0.374162103149723,-0.323375456631346,-0.231159312310417,-0.481487242526677,-0.436021758493489,-0.166351388639011
"ENO3",0.316040087793348,0.483960746837042,0.256645498741413,0.363582839887542,0.22768925418383,0.367157405417149,0.273182924031879,0.209428370139389,0.128583971938536,0.207096992889976,0.350205913241141,0.383269132643164,0.100065034728385,0.380417000768618,-0.264680147897802,0.319906214913224,0.261781739727756,0.48923323214931,0.465927547542478,0.324425542473017,0.259647658903728,0.162465010597832,0.369432851804425,0.505779913789809,0.157448239383105
"TFRC",-0.363745391897848,-0.509148098478859,-0.315962900480415,-0.397886880649292,-0.302516006758466,-0.385199633561437,-0.323121252346063,-0.302311438774309,-0.320278641386127,-0.315712556847504,-0.458733082266144,-0.466255713777066,-0.0493454619807213,-0.434248611096179,0.128105695419558,-0.417668211310606,-0.321683071685081,-0.499128484254396,-0.550648987392697,-0.472549872516276,-0.368757721663007,-0.263952369108249,-0.470570660445376,-0.455791334650191,-0.261560777276343
"BGN",0.338905853512266,0.525222542937874,0.380910671892736,0.628714451310299,0.513701055906158,0.56704943276864,0.470007168353358,0.147532649461449,0.233854318181338,0.239829360460915,0.398166105220514,0.249715645344682,0.352021381412144,0.558940049874223,0.0880202296331783,0.52451739411582,0.42445672450592,0.512596061776131,0.655910942699552,0.504702870119356,0.383995983596002,0.352834868348061,0.336270444252977,0.356604338141095,0.462693498467829
"NEDD4L",-0.319913701905947,-0.573600249340111,-0.331706267679824,-0.42982744232305,-0.318696742226649,-0.408442264130126,-0.327594881134903,-0.325070858033306,-0.345936859808281,-0.331715196088551,-0.493957350731346,-0.347716855181142,-0.2621584506955,-0.449932614484146,0.0616281670985927,-0.416947440867258,-0.524518145264867,-0.417070930786149,-0.504468921812865,-0.431455082945102,-0.398669904457173,-0.266677926233026,-0.424299588684042,-0.387013631554604,-0.284137803873407
"HSPA13",-0.472471292783027,-0.567250393874928,-0.287891386314539,-0.437628908517159,-0.308769200789337,-0.379605934523762,-0.294120168335167,-0.344535768179014,-0.344271447406665,-0.370263662915513,-0.639811955949641,-0.537594894558651,-0.121372620205455,-0.461729517933955,0.164520982424452,-0.335570368808403,-0.41264701074103,-0.444209906065462,-0.530124383071279,-0.38903046942413,-0.282493845139223,-0.229657885340645,-0.591038584434313,-0.446331497917428,-0.171321399193697
"MPC1",0.210147886675573,0.47425319265635,0.267254563841115,0.383231668041993,0.263708478730966,0.418517049697568,0.328169191067147,0.168325026921433,0.203990835820236,0.20740469167779,0.274344119094508,0.349055888522158,0.092309697253865,0.36426905835593,-0.194166586322279,0.420646830997737,0.32300173128848,0.578825402088129,0.599953005258535,0.432065684482942,0.328578616780603,0.171844892092071,0.375765337031701,0.554683658848231,0.277023443637323
"RBM3",-0.446254857007693,-0.529100323934412,-0.294084399846025,-0.311277579876737,-0.2059895212469,-0.310731772050965,-0.246904510609663,-0.378678576075635,-0.262949133554917,-0.380839376566208,-0.600474631185146,-0.500852196011661,-0.0569654769283067,-0.395634715572309,0.220720473669889,-0.294864277206169,-0.42004777429751,-0.444454771198845,-0.45511741659124,-0.32366715275032,-0.326302934005251,-0.180479543752729,-0.540403349546354,-0.498303217967285,-0.149265800279425
"E2F3",-0.25329990141806,-0.44002644557876,-0.252529999120311,-0.315693350640581,-0.184853918106663,-0.327410961778352,-0.228684138379433,-0.163323002825981,-0.2284060609692,-0.169289973861585,-0.344639690115667,-0.608711827644737,0.0783239716185491,-0.346284500208657,0.279429559840427,-0.465831849543342,-0.269685668652796,-0.601076254673016,-0.610411594142121,-0.390003491918675,-0.253205369570235,-0.137937291581128,-0.496707085269079,-0.526088484960723,-0.148899938441226
"ACSL1",0.262934874439362,0.513242412720001,0.272431050603887,0.411262849701204,0.259161760293647,0.443271128604743,0.327901052729654,0.19974058951865,0.22368658690528,0.192804436681188,0.327938796077115,0.47964449070836,0.0365332163028503,0.33793812625486,-0.345080461034058,0.500802661006665,0.300110817449164,0.70523026541782,0.649740293386598,0.432481078891981,0.354662842543513,0.041221040308283,0.425992546758432,0.669960969295494,0.221099972781652
"IRF8",0.350145895045116,0.523715957171722,0.572640343449792,0.651928948250425,0.594822450216192,0.648994003817708,0.587470804062348,0.0723874556185957,0.280601932952962,0.241780796314662,0.253960276261238,0.289364607192382,0.384291055345344,0.531016594480369,-0.0258322532218925,0.610130082115592,0.335187452912617,0.631679592994201,0.684019889079133,0.575421176099794,0.442104157256384,0.175028733362683,0.299301224011293,0.41181355941114,0.495452843551105
"PNO1",-0.427735914505087,-0.419058258362799,-0.283051183630221,-0.352928792375763,-0.306412835393829,-0.304074200655657,-0.27645628424578,-0.253324175879361,-0.237597129986855,-0.375756524098305,-0.578001785893135,-0.238385635714951,-0.179749155192074,-0.348066908694167,-0.0620692806026881,-0.230621345201739,-0.403647127192411,-0.255616901404627,-0.346708619635633,-0.278761420014055,-0.156288308302633,-0.284741709715647,-0.422758861934344,-0.268322018273749,-0.250035559211793
"PCK2",0.317631511002302,0.499086745259484,0.212352074629507,0.305783689043399,0.156260912256797,0.356777124430707,0.242803994890819,0.245244114593122,0.230113922741915,0.224984420462529,0.440858360922538,0.548106459775469,-0.0805974592285548,0.324831997384363,-0.361593273613239,0.385748293991081,0.270284289153294,0.60145674092685,0.5604714670426,0.340350356375658,0.201449966461336,0.0673019803994681,0.508592778035724,0.589256335903219,0.106506775268872
"ACADSB",0.201895162266369,0.482125674518962,0.203306508044029,0.328538813205188,0.170301232518191,0.36595588511913,0.243275826351913,0.186475843970325,0.287721375423947,0.149139904430899,0.250378972117571,0.51038399799166,0.000186051838365832,0.351100562833541,-0.305344751597093,0.394888705435901,0.217610661900845,0.597976940394268,0.554353528131696,0.384421418804474,0.262340008120248,0.0788720213237037,0.416246347603097,0.504583412032397,0.163064263015571
"SATB1",0.281966098918374,0.447653937809029,0.281899279609643,0.476217392234153,0.36445049539878,0.438745026346248,0.342782556741338,0.150093596252824,0.2590005592795,0.160397188347225,0.376851356917772,0.229681117706673,0.199032332654504,0.419994739477168,-0.156843600200987,0.352291980462766,0.302605027100335,0.402585267362902,0.497036802989007,0.335312088011414,0.296022756829406,0.122909937534287,0.312784625085181,0.295588523569082,0.289862817286731
