"Gene","logFC_14","adj.P.Val_14"
"NDRG1",1.26533292929295,1.98694337151428e-34
"PKM",1.42223494949497,2.58124028801239e-34
"G6PD",1.16244090909093,5.73844196688739e-33
"NT5DC2",1.07036818181819,1.2680092552472e-32
"HLF",-1.55447454545454,1.70857956757748e-32
"RAB26",-1.22744727272726,4.52942253060632e-32
"GJA1",1.17429282828284,6.25452368981022e-31
"AQP3",-1.12870898989897,7.29801880520323e-31
"MMD",1.08771626262629,7.59662914114613e-30
"ANO1",-1.60512010101009,2.06058919169742e-29
"TF",-1.25238111111109,3.24989452856084e-29
"TRIM16",1.37462050505051,5.4071645698332e-29
"ASNS",1.30792343434345,2.05835585724987e-28
"GLS",1.11833272727274,3.41360554572753e-28
"NEAT1",-1.28129656565655,1.49837246765796e-27
"PDK4",-1.41034191919191,5.12532469841472e-27
"NQO1",2.17099525252527,6.78857055116526e-27
"ANGPTL4",-1.235652020202,1.35568613806391e-26
"SLC47A1",-1.14577868686866,2.47272854532247e-26
"ENPP2",1.50455969696973,4.88710281598993e-26
"PPARGC1A",-1.23365151515149,1.90545520184524e-25
"TFR2",-1.27427727272724,9.9082749189915e-25
"TXNIP",-1.04287707070703,5.72230253014089e-23
"LCN2",1.55115232323234,1.62343149072588e-21
"DKK1",1.78822020202022,4.73913834595204e-21
"ZEB1",-1.11040848484846,2.29493294351173e-19
"CDO1",-1.1452338383838,8.12006793558418e-19
"ENO1",1.08420282828284,8.60853273915279e-18
"ME1",1.01413404040406,1.12994479106584e-16
