"","Cisplatin_1005","Gefitinib_1010","Axitinib_1021","5-Fluorouracil_1073","Sorafenib_1085","Oxaliplatin_1089","Erlotinib_1168","Gemcitabine_1190","Lapatinib_1558","Oxaliplatin_1806"
"GSM363002",2.28458755375873,3.07568762403206,2.95148914421035,4.04742479529378,2.40857378832249,3.16370038597616,2.42482635811414,-2.68352976152707,3.29163067823281,4.56342930870478
"GSM363003",3.44500054768286,2.85773467771254,3.10304242062027,4.90377610502069,2.49083456638987,3.40403032282361,2.29379855232443,-0.471261035239659,2.90224230045503,4.58843623264532
"GSM363004",3.14035738257415,3.06585106688517,2.73488400833652,4.4436707055276,2.4627924758084,3.39337567860761,2.513164825241,-1.20681822333453,3.08287414579059,4.6819211314475
"GSM363005",3.04560757059672,3.07744786001871,3.12523234405723,4.52659602273603,2.45579203105585,3.39225334212652,2.41729075946247,-1.46684893999124,3.20160752303216,4.63491888420861
"GSM363006",3.36792690030112,3.15856881011887,3.00440137663369,4.6552703566036,2.56791067839997,3.45650555234317,2.61214178966961,-0.812382146942647,3.11810405805557,4.71266869218313
"GSM363007",3.00305071715939,3.09000386466594,3.19896157917018,4.37532802079661,2.55173752055037,3.45541143348296,2.62144408387223,-1.76524586471376,2.92467653265223,4.61623661971622
"GSM363008",2.42594165792021,3.19826351430926,3.41843636301271,4.66959292449449,2.65127364413996,3.72282267354373,2.51994808800954,-2.20508005758691,2.77447194434623,4.9423072170323
"GSM363009",2.12308072122091,3.13729881916696,2.90741158017519,4.68299590059304,3.1686162581416,3.94248241578487,2.45175794146406,-0.764296193150962,3.11011190267352,5.10990404287273
"GSM363010",2.99818210101307,3.09750184416915,3.18189145322611,5.53714976533789,3.78974245580779,4.39043641271092,2.15969718662454,-2.58834750273666,3.28200322173732,5.02925305178146
"GSM363011",4.8515177315946,3.4832237775026,3.96555206374922,5.85062665703037,3.29688261053624,5.17472915891323,2.67535927036474,2.21670429905103,3.25716395221738,6.59162348356679
"GSM363012",3.83588874957769,3.35550079025161,3.00782777939347,4.56396461585978,2.46808326229832,3.75268532463051,2.62453000441372,-0.488469230106978,3.20447520742926,5.05419720888379
"GSM363013",3.11297076576782,3.35057169478788,3.13761278177609,4.73482032712968,2.72147752858753,3.92776231283119,2.52088845537205,-0.329748399686588,2.78232608112381,5.28316317323705
