"","Activated_B_cell","Activated_CD4_T_cell","Activated_CD8_T_cell","Central_memory_CD4_T_cell","Central_memory_CD8_T_cell","Effector_memory_CD4_T_cell","Effector_memory_CD8_T_cell","Regulatory_T_cell","T_follicular_helper_cell","Type_1_T_helper_cell","Type_2_T_helper_cell","Type_17_T_helper_cell","Activated_dendritic_cell","Immature_dendritic_cell","Plasmacytoid_dendritic_cell","Macrophage","M1_Macrophage","M2_Macrophage","Monocyte","Natural_killer_cell","Neutrophil","Mast_cell","Eosinophil","MDSC","Natural_killer_T_cell"
"GSM363196",5.01685,3.9759,4.82225,5.476875,5.6885,6.173,6.198375,3.688,4.3725,3.81,3.22425,4.1245,4.336,4.699,4.50516666666667,6.39627777777778,3.5453,7.73308333333333,7.082,4.85929166666667,4.034375,3.5298,4.03555555555556,6.071,5.75983333333333
"GSM363197",3.85915,4.0273,4.57,4.97775,4.98225,5.833,5.5295,3.55816666666667,4.215375,3.63766666666667,3.36895833333333,4.11283333333333,4.07941666666667,4.57633333333333,4.36566666666667,5.34377777777778,3.6451,7.02758333333333,7.6,4.2210625,4.024375,4.08511666666667,3.89422222222222,5.866125,4.82808333333333
"GSM363198",3.9092,3.7363,4.37025,4.42725,4.599,4.55133333333333,4.7845,3.65916666666667,4.57725,3.73533333333333,3.33183333333333,3.89333333333333,4.05425,3.806,4.3895,4.34825,3.4999,5.9605,7.3325,4.05308333333333,4.117875,3.85571666666667,3.79533333333333,5.43475,4.524
"GSM363199",4.12435,4.0658,4.3615,5.133625,5.06875,5.394,5.101875,3.61366666666667,4.394625,3.681,3.46554166666667,4.46266666666667,4.2105,4.30366666666667,4.48316666666667,5.37038888888889,3.9671,7.13741666666667,7.5095,4.07879166666667,4.452625,4.08826666666667,4.07022222222222,6.1305,4.44716666666667
"GSM363200",3.8981,3.9309,4.40125,4.626125,4.72025,5.13566666666667,4.996375,3.762,4.29175,3.699,3.60645833333333,4.16583333333333,4.22016666666667,4.40333333333333,4.78333333333333,5.37363888888889,3.7915,7.04241666666667,7.777,4.44129166666667,4.15,3.97001666666667,4.29922222222222,6.22075,5.24216666666667
"GSM363201",4.09555,4.0862,4.03925,4.952,4.6855,5.19066666666667,4.663,3.81833333333333,4.33475,3.92833333333333,3.599125,4.46733333333333,4.19191666666667,4.13266666666667,4.40783333333333,4.89822222222222,4.0647,6.77891666666667,7.16,4.09679166666667,4.1275,4.12101666666667,4.31666666666667,6.176125,4.42516666666667
"GSM363202",3.828,3.7892,4.155,4.5385,4.5015,4.98216666666667,4.743875,3.55083333333333,4.2435,3.64766666666667,3.386875,4.32816666666667,3.98341666666667,4.026,4.2755,5.15888888888889,3.5955,6.84916666666667,7.181,3.93204166666667,3.938875,5.60436666666667,3.64966666666667,5.826,4.59516666666667
"GSM363203",3.952,4.0469,4.3555,5.07675,4.99175,5.30266666666667,4.9775,3.711,4.468,3.62133333333333,3.39008333333333,4.2345,4.05558333333333,4.357,4.39883333333333,5.57375,3.774,7.1175,7.786,4.14329166666667,4.20425,3.9264,4.02344444444444,6.075375,4.68983333333333
"GSM363204",3.59965,3.6132,3.92275,4.201875,4.3385,4.436,4.366875,3.38933333333333,4.116625,3.397,3.19754166666667,3.93566666666667,3.81258333333333,3.65966666666667,4.75483333333333,4.77261111111111,3.4458,5.74533333333333,6.396,3.58508333333333,3.888125,3.92638333333333,3.78455555555556,5.14725,4.11533333333333
"GSM363205",3.82885,4.1536,5.108,4.872,5.06775,5.43083333333333,5.475875,3.643,4.277875,3.63733333333333,3.25925,3.936,4.23291666666667,4.16,4.75966666666667,5.31547222222222,3.6731,6.89091666666667,7.4635,4.11495833333333,4.273625,5.85733333333333,3.90022222222222,5.84325,4.68883333333333
