"Gene","HR","HR_lower","HR_upper","P_value"
"TXNRD1",1.10439556100238,0.899074622850938,1.35660547429775,0.344048023960751
"TFRC",1.10220124892791,0.889954719496224,1.36506674612156,0.372570134016302
"SOCS2",0.906374100572876,0.724069066948623,1.13457962463625,0.39090832414056
"TRIM16",1.09381315549336,0.889957330331763,1.34436469969221,0.394151237101483
"NNMT",1.09490314881007,0.882252147802205,1.35880984621074,0.410559110475818
"HSPA4",0.913303569526273,0.73138108546837,1.14047714205689,0.423616312530824
"ZFP36",0.918357778254714,0.744573005189166,1.13270425197146,0.426184864402063
"MT1G",0.917120478736356,0.740519697388941,1.13583740646379,0.427894947703286
"DHODH",1.09156251798308,0.874679100804613,1.36222384823131,0.438222845834487
"NEAT1",1.08675231566185,0.876238095368786,1.34784210118064,0.448865795452284
"HAMP",0.921544283193071,0.744692350101754,1.14039558183966,0.452328038542587
"ALB",0.932052923225167,0.773805763696073,1.12266242053191,0.45857193696836
"AKR1C3",1.09179500100903,0.862953233093422,1.38132204448124,0.464296599991711
"TSC22D3",0.920979058001902,0.734606888344548,1.15463445651798,0.475490853356139
"LCN2",1.07371330500921,0.875955358571667,1.31611759671594,0.493474792662971
"PIR",1.07528429280588,0.870468284175268,1.32829228976508,0.500787228038021
"EMC2",1.06838361433874,0.868451551072943,1.31434338044222,0.531491230695827
"IRF8",0.935742064743741,0.759463158429164,1.15293704771928,0.532861980267253
"POLE2",1.0695352015596,0.857714456059042,1.33366709549361,0.550525097670872
"MAPK9",1.05854284422515,0.858312095247056,1.30548428626972,0.594862699035104
"STEAP3",1.05175142804372,0.85279741389978,1.29712056856917,0.637199793449491
"MPC1",0.952829200229081,0.771472645103486,1.17681876417978,0.653755123895823
"HSPH1",1.04944425885806,0.847701263154373,1.29919973028231,0.657717426723995
"ME1",1.04317725192907,0.84601307350304,1.28629073595324,0.692488262453169
"PARP12",0.958675714039749,0.762195074156067,1.20580564720553,0.718361088350316
"PDGFRA",1.03679691383404,0.835950809631158,1.28589843822281,0.742209759628306
"ENO3",1.03305990210898,0.848411850058836,1.25789469026322,0.746138149186394
"PHGDH",0.966175863548606,0.781720796386701,1.19415500216795,0.750221911000766
"SLC1A4",1.03649018778721,0.831111163330016,1.29262120012287,0.750413054513598
"AURKA",1.03450247101754,0.835601690265023,1.2807482021751,0.755525581460972
"CDKN2A",1.03318742106533,0.836281861955763,1.27645509918292,0.762162621560588
"EGR1",0.977551688682482,0.790624291906333,1.20867435244348,0.833920342983523
"RRM1",0.981928327170452,0.791708938224271,1.21785064327092,0.868157249731416
"TXNIP",1.00911533982097,0.818125493502791,1.24469140388486,0.93244839153156
"TF",1.00854747042867,0.815502463529941,1.24728991707176,0.937418061146365
"PNO1",0.99194982825069,0.80070580683825,1.22887139491589,0.941037667000038
"SQSTM1",1.00226411843493,0.810157045872167,1.2399242445898,0.983380571383793
"NRAS",1.00146271144542,0.813348957017188,1.23308397184607,0.98901414180052
"SATB1",1.00001273248785,0.803685088965854,1.24430013554763,0.999908898194738
