"","Cisplatin_1005","Docetaxel_1007","Gefitinib_1010","Navitoclax_1011","Vorinostat_1012","Olaparib_1017","Axitinib_1021","AZD7762_1022","Afatinib_1032","Nutlin-3a (-)_1047","MK-2206_1053","AZD8055_1059","5-Fluorouracil_1073","Paclitaxel_1080","Crizotinib_1083","Rapamycin_1084","Sorafenib_1085","Oxaliplatin_1089","BMS-536924_1091","GSK1904529A_1093","Erlotinib_1168","MK-1775_1179","Gemcitabine_1190","Bortezomib_1191","GSK269962A_1192","BMS-345541_1249","Trametinib_1372","Dabrafenib_1373","Temozolomide_1375","AZD5438_1401","AZD2014_1441","AZD1208_1449","AZD1332_1463","Lapatinib_1558","AZD5582_1617","GSK2606414_1618","I-BET-762_1624","GSK343_1627","AZD5153_1706","AZD5991_1720","Selumetinib_1736","AZD4547_1786","Ibrutinib_1799","Oxaliplatin_1806","Vincristine_1818","Docetaxel_1819","Venetoclax_1909","AZD3759_1915","AZD5363_1916","AZD6738_1917","AZD8186_1918","Osimertinib_1919","GSK2578215A_1927","BPD-00008900_1998","MK-8776_2046","GSK591_2110","AZD6482_2169","BMS-754807_2171","JQ1_2172"
"GSM362968",2.77745612780846,-4.74985463200166,2.85136870564611,1.55958235753525,1.56419445005208,3.91782908136316,2.87044685462285,-0.246695019170992,1.41064083783978,3.49760020526647,2.51066151868292,-0.369996515022359,4.17992705609599,-2.65442390460673,2.96682774791456,-2.61079034097397,2.24787677183098,3.27116907721395,1.82451554831703,4.20604660330831,2.44199648219248,0.719432770928519,-1.83300982500262,-4.77870312711913,2.49582028740932,3.58125679277111,0.116619573257503,3.83562971469035,5.41442667059134,2.00779554348964,1.74602713879501,5.05453298613803,3.34886070368113,2.77766881264717,2.09108021320556,3.42137852542916,3.19679683255384,2.70558931264329,1.18039317316588,3.8186688504777,3.49438703947849,2.76748146909237,4.12529407525799,4.34162112393833,-1.89863001101856,-2.38341279579642,1.81430475224034,2.40711172597844,2.29427983657349,1.919392218672,2.61350826498259,1.47483593612416,4.69824471612542,4.29624198301892,2.53180093052268,4.44758938818901,2.37804804509321,-1.00497095523172,2.19014299017998
"GSM362969",3.31364358201697,-4.15174070285767,3.08736829961522,1.36688232166231,1.5680687497037,4.0855402768834,2.95175224066611,-0.0387053217042177,1.40117997239785,3.48308735729805,2.37720765081251,-0.455712157071561,4.7856713262684,-1.96244796812604,3.06841485398183,-2.1422005620048,2.3311337586979,3.43476529438877,2.07296574035198,4.27741527714687,2.47306860321889,0.869149185106317,-1.3416457190774,-4.52555041190026,2.36166199231814,3.78709311129636,0.0536405239495338,3.94189549386453,5.70728999736735,2.20103744591492,1.68008835551458,5.00103921732236,3.46529858760045,2.80542315669493,2.28948703946923,3.49913609332051,3.40084031018936,2.76132306311078,1.35230893438772,3.94264299847564,3.30101287322974,2.94291899486074,4.19105446970396,4.25996919026873,-1.56692728193774,-1.65830533044074,1.84314131073236,2.4662488154309,2.42665027925657,2.0968893913912,2.64341995811213,1.55185484977362,4.6924025501008,4.62572892046321,2.74820596389117,4.69440079433941,2.26473751636438,-1.16471931202878,2.0424693146777
"GSM362970",3.01153076186841,-4.6322601831126,3.00467784079602,2.33108915015807,1.77316971774613,4.24858004488199,2.91440236159584,-0.063936951273791,2.0181487405873,5.43244662788779,3.35352306732457,0.241379715977002,5.0100233341188,-2.9047149888816,3.19500335709015,-2.04895637547927,2.42406199816326,3.67115478959838,2.00056173190905,4.08786353805519,2.50400212549575,0.187505928483193,-0.113171501760961,-4.76188947798259,3.14407950703578,3.33165713731962,1.60817219439638,4.59563918987711,5.79656354426364,2.54932900776755,2.46052137756815,5.25618833602153,3.76421614705439,3.08395676420979,2.10247003318743,3.71590112264118,3.37134840018597,2.82851055891332,1.72402457693739,3.71016772028755,4.82161869829723,2.31435864212006,4.37824452487254,4.9437884122954,-1.79540831418269,-2.21014683732171,2.16326343626606,2.6421380470011,2.84175322509982,2.20749840864387,3.52746460305635,1.54292817977539,4.78851522952969,4.47441006958386,3.12299938924098,4.47518170907659,2.96672232471518,0.568402444238195,2.61474660979467
"GSM362971",2.91078258705993,-4.64609960455602,3.05385489343751,1.25246550364802,1.27498999687168,3.92779992380208,2.69895553643984,-0.208341697118607,1.49594321704136,3.23245246707343,2.57563477714237,-0.382254077292358,4.28693027063739,-2.62496234690181,3.03106853624089,-2.55922982356382,2.40501577534163,3.27637969747604,1.81516974899179,4.27733324722988,2.59688372804159,0.543785396303306,-2.25435011412921,-4.95097533345561,2.44265813364023,3.70526124721574,-0.59421601317351,3.9581117257679,5.65388231938956,2.13830391611785,1.74385077472519,5.12104127223634,3.3503224584551,2.64484988380347,2.3066431591292,3.47927856959621,3.2373065813832,2.75412437280523,1.33268632151697,4.10643103679581,3.32702253170764,2.7787127600867,4.29383741290167,4.33279972511288,-1.82199456386941,-2.08486682389468,1.76754791362587,2.47018091689631,2.45663599527561,1.79146751231357,2.74433090677783,1.48757920289715,4.73515388387673,4.44159821999554,2.78746791247059,4.4857389994627,2.76997563227912,-1.09816405425142,2.28209070393156
"GSM362972",4.40269389385801,-3.51127347111166,3.59670689219899,2.29357266877783,1.70251667065069,4.63518271158189,2.96247671391438,0.517230429755099,2.33186350694993,5.41778121668076,3.18915739825502,-0.340777941444356,5.2117483102274,-1.73013217159715,3.29173062237147,-2.26083140151519,2.92190039236101,4.4476343049915,2.83165817881122,4.4431799491056,3.01880551002125,1.25043125468356,1.80940892689767,-4.59144495813967,2.67985700687382,3.78062191828884,0.980596698271076,5.05154253770444,6.23533962240495,2.87704424885004,1.95023275908262,5.4089641164017,4.04121371847739,3.33631008946741,2.53903506630161,4.07817023621048,3.72861140907824,2.91148072009391,2.00118105659952,4.30289036051416,4.78826164332851,3.45163925486872,4.99001925171282,5.70373051586906,-1.04296567119772,-0.989332689012363,2.51860314293188,2.96658728082936,3.5086333282491,2.61758070066445,3.53959712676072,2.09370644288971,4.98981553890413,4.73043559743564,3.1654763672323,4.74229521204058,2.85988210697351,-0.182546012224342,2.54811886835671
"GSM362973",3.62229745352882,-4.2726917874309,2.96967166595648,2.14915498114044,1.30992335283352,4.18619353963597,2.64752935081178,0.243031396480452,1.67015884139741,3.91761922517032,2.36389280068335,-0.413282438939853,4.83628220886758,-2.35833878763862,2.92458717540038,-2.32234212658773,2.27533077138896,3.43803024884608,2.03010042594962,4.12903783664598,2.52605219253027,1.08098204458089,-0.444527143946247,-4.39851571496899,2.55164789817525,3.37189748242682,0.722922957340165,4.24151780256429,5.98652622229409,2.17852436619479,1.7531689083784,5.01951232451123,3.62400655735128,2.80909925465615,2.35312628667436,3.52741966103759,3.36479459457275,2.82070961779898,1.41588134923729,3.54477879418405,4.02964978298236,2.82480430233121,4.10050633973423,4.44526054162071,-1.79591976228999,-2.17871624121091,2.1701477148261,2.4532378663857,2.39590390290624,2.27406025728963,2.80204682434808,1.51399666711029,4.718870365256,4.65284709092112,3.20248695736942,4.58018286727354,2.4765982217117,-1.24695659321044,2.21572965558914
"GSM362974",2.36835635778149,-4.5967617458006,3.1725084917301,1.75556701052117,1.40321931883257,3.75433652149212,2.60607511485229,-0.00783494012287609,1.74642162807926,3.77779475234687,2.64510841741781,-0.188540248021848,4.27851241115754,-3.14872283119309,2.90170962585307,-2.59937523490988,2.31778753340723,3.03151560054355,2.05465412157405,4.25507616974566,2.66846869758094,0.664825525552208,-1.0057179548594,-4.90271274072093,2.79296027283031,3.29959800271919,0.739268455723131,4.51504154448775,5.83657763937653,2.32210300621619,1.82756285276429,5.05446525867382,3.80522885691264,2.96925707958776,1.66004285711038,3.66591623159945,3.29181239277134,2.63289338514782,1.3872812190136,3.40050858051988,4.13066293041011,2.85615084754399,4.1120474648373,4.30643791512928,-2.27776498435489,-2.05707994960808,1.6942642456851,2.78024114291039,2.51456209106898,2.04045671754003,3.06110057091878,1.53507808343697,4.61104362108181,4.51693925688655,2.9585114065014,4.38850512271799,3.06332876019551,-0.651628520261257,2.26751528462029
"GSM362975",3.48064732416708,-4.00767885573327,3.08842651720088,1.62745225038762,1.49302304362627,4.06592289855738,2.62254949594769,0.146272191484514,1.6147345749363,3.63243191874391,2.75952272899023,-0.410358102468235,4.89058900143305,-1.70372009995995,3.17807173079477,-2.12258017054221,2.44101137284467,3.58730099696107,2.13510728285864,4.30139714176835,2.47958322791302,1.12358059728153,-0.790248342401611,-4.46526117313761,2.40975799273504,3.76133910683404,0.187553581089612,4.0889573923061,5.91344185802202,2.24028446605019,1.76817803385487,5.02519824305271,3.50370577523403,2.94960117480152,2.48891822324496,3.52740371067453,3.46186487940862,2.84793358176809,1.57106006817653,4.12829029908383,3.66053581099269,2.89009365026122,4.1343873404558,4.53875123253018,-1.37133395468459,-1.44953839180903,2.00070915149737,2.4712174965418,2.68462219793468,2.27609009192208,2.85908194994615,1.58017523689469,4.81665006430251,4.72816787213898,2.99458092023064,4.75992656360217,2.52106666977844,-1.22775721939744,2.12835505707588
"GSM362976",3.20026444671963,-4.16066181914276,3.37917449306333,1.7983331082775,1.94301504093104,4.1247055173051,3.41001180452943,0.136441232127339,2.18902987984929,4.19063806734571,3.42576959910812,-0.101677390037021,4.45993056328488,-2.32050715755322,3.09522932137914,-2.55836495835843,2.58278446362676,3.74405775286661,1.97594010936918,4.23896163098825,2.6692080771343,0.754464649575793,-0.753210174295219,-4.65266812705289,2.9277224168469,3.46944890765032,0.435007781399855,4.43903935494646,5.57955704824941,2.33788828072261,2.06041995314211,5.32992570616823,3.70842564634548,3.2795599373055,1.99397441088696,3.50770506611772,3.07247056897768,2.76518787093609,1.45700564047709,3.93725828349276,3.87505343226223,2.86059582970355,4.73573681466598,5.02825900414297,-1.16814099833879,-2.03356426840098,1.7162968297719,2.59939718877601,3.24759161800183,2.40532161510269,3.26135291555558,1.93499446346527,5.08662710576701,4.44820484026678,3.0171412207572,4.47176542374396,2.62440555698089,-0.417760420875922,2.60834389375821
"GSM362977",4.16337114665362,-3.9378357670224,3.36847164824026,1.85382214059556,1.43009773942357,4.60875416943672,2.92769573552475,0.707108475495284,1.7346070165265,5.48651039963348,2.88867172076387,-0.388466527674219,5.29105822457874,-1.7749392931074,3.2224992855461,-2.21474314759216,2.67443289394826,4.20550814734196,2.63000994002986,4.16536788088255,2.79580293054599,1.16474735243522,1.09158457297029,-4.54664896572885,2.49585301785768,3.68805348854315,1.67269529181511,4.73002892030464,5.95140069182343,2.80915905711251,2.08010739052499,5.29106081806627,3.94863126769792,3.00188941444087,2.40476415683309,3.72179141414949,3.62272161291089,2.85457535919988,1.88413916516929,3.54980753778584,4.8457275765089,3.18796246231167,4.37157657988342,5.29595676545523,-1.27075070426331,-1.90610967100998,1.8203676313739,2.62113436030766,2.6893052050209,2.66910455136542,3.41086235407752,1.63979274490804,4.79828437711478,4.69558946598685,3.43987419448913,4.70625025338289,2.07556979076892,-0.14844091950063,2.45312729564561
"GSM362978",4.00861122225224,-3.789613417391,3.52780563093073,2.46995342413706,1.95355135988546,4.70067594360778,3.10925161452163,0.570416598882918,2.231888715311,4.91703033573283,3.35542673537857,-0.155799756976488,5.1071357722117,-1.86914876234925,3.5465600110545,-2.27629824254508,2.76350117646773,4.41517366102955,2.38801095349021,4.31673745248467,2.85372131023265,0.971171037408082,1.09602633809664,-4.74139181022238,2.8842429475178,3.64042133720007,0.751891014655103,4.88725164587857,6.06754768427458,2.99322516192638,2.36430369619189,5.4573318927818,4.17305071748883,3.09263388726224,2.76229026040901,3.93707159990912,3.65490900894186,2.97791095392808,2.07977561692159,4.10926570398479,4.32448962048672,3.06749477365047,4.60743604762965,5.58256626491168,-0.78796445341578,-0.959562098011489,2.05902104008116,2.96618001252418,2.95345590746694,2.09548423518458,3.31462535908386,1.85641494618774,4.99212576975485,4.86269187232848,3.45784344647216,4.88724126422374,2.65789198592015,0.49592027151958,2.65306084678568
"GSM362979",2.78990166694591,-4.71386616450675,2.81356581399132,2.00886540601973,1.43356958321448,3.93356449932256,2.59457612069253,-0.0851298019332639,1.70614101776404,3.37549131308944,2.73990567714468,-0.347959125963467,4.17735320521358,-2.89136078806237,2.91364870676069,-2.70218195775782,2.07670699172612,3.12439505017941,1.87053158547593,4.06977459870413,2.29137644083289,0.64513243808716,-1.78492475050116,-4.80269636500275,2.50714018312816,3.24393784570931,0.230741618436323,4.19458181788647,5.51345185101899,1.95739081792452,1.76365460381814,5.06858511205395,3.48103383559891,2.893422600267,2.11739218519208,3.33249659636744,3.05595043120568,2.66663362771964,1.20599953407258,3.68931880196541,3.9405859121327,2.38749163562548,4.10332077321289,4.3819344715592,-2.00373567422738,-2.48637998050596,1.74228158801429,2.29665614251168,2.38124255595795,2.00163146243138,2.88136598317797,1.43193815001963,4.62360997722403,4.38040793016641,2.75319409427047,4.35314343503432,1.974053131923,-0.78459657475092,2.23012094613475
"GSM362980",3.68318000712349,-4.09033171786127,3.06421854515517,1.14054904221969,1.21453366941949,4.16506882710802,2.59755830059421,0.0809169596790794,1.30251734581505,3.48726006166908,2.20657024576551,-0.527847191136656,4.93055192019317,-2.04805179916336,2.89495863175637,-2.37562255272454,2.25232522602742,3.43043495132327,2.10073409565956,4.15713642060426,2.59072838689669,0.994359167328321,-0.802779024523186,-4.47081740841982,2.22577813660422,3.65191764694738,0.45145898630402,4.10002598982239,6.01223617734572,2.20668639378256,1.65801028148032,4.93207136273228,3.42152487050824,2.68780533027776,2.38157434907455,3.42322559524483,3.48796221289604,2.76829132226748,1.4585427786635,3.68370352580449,3.6399481020792,2.83977330377098,3.97318464699811,4.36533092739988,-1.6334010455416,-1.61750451535464,2.06986854996167,2.49542644647584,2.3068413811621,2.10993414594472,2.69852552868097,1.47190465289578,4.75441408438392,4.65137441635745,2.75977620095491,4.57752865181631,2.2609001526782,-1.81968232708427,2.04259683379881
"GSM362981",3.37902713106938,-4.14599286316888,3.16073438483309,1.21283811822574,1.50645416771127,4.05172486331827,2.76990951023338,-0.320652867669684,1.37348981023424,3.29758260314696,2.43062991571848,-0.284977667387945,4.84683456696734,-1.98837539270635,3.11939676189157,-2.10480841808667,2.5139824274995,3.58329128789269,1.81705192178234,4.39684586207946,2.52470280489165,0.681669355273308,-1.48675036235304,-4.67264883935765,2.5315619020486,3.83765289241076,-0.203370478712643,4.16584778068654,5.80587107854969,2.30380489606411,1.86788653721691,5.1595338417687,3.30578064124219,2.64006729732911,2.3579251887622,3.58282139948456,3.47448733421483,2.88160626372054,1.57705031767465,4.67664720368255,3.32356563759125,2.94808049937751,3.95658252896425,4.57317227382804,-1.37880978722409,-1.63697804016211,2.13501090615173,2.50104025773749,2.62351658594587,1.80744011607634,2.78477910059124,1.42017725187314,4.88600417533832,4.54727217889924,2.65046034478451,4.66300242977241,2.76299096028493,-0.850167711784322,2.17341242797445
"GSM362982",4.07029625075988,-4.40157139912775,3.20466435572389,2.66362612915393,2.04688076949298,4.88345293210792,3.05886668792915,0.600974710556402,2.10841810190911,5.92852787342486,3.84435081230325,0.0151823001676642,5.24294488711532,-2.49570579148976,3.46900235423203,-2.05319058050458,3.05199965138535,4.80769424965981,1.95317657250602,4.70478213784559,2.83316714424991,0.936661718665509,0.441974200095822,-4.37250890206789,3.09116546542159,3.64288888814668,0.101172224255815,4.76621424749927,6.20817790191379,3.17287421876522,2.34661797644889,5.62129397675492,4.17806377412274,3.20487909419827,3.47895623694543,4.17351955854517,3.58354563974142,3.14217429238014,1.93087816734017,4.93383075552893,4.29976365926685,3.11406410416987,4.95362199637084,5.99585117400511,-1.01319460769829,-2.13885094259132,2.59070499434509,2.91975377446427,3.37032263791987,2.72891076782835,3.94877603589745,2.10830850627721,5.36448179439217,4.52097798609419,4.0712650534782,4.85358008233553,3.54892645106596,0.454150039741699,2.93667446416188
"GSM362983",3.62380302072048,-4.60319387041138,3.21411175367745,2.06608082772377,1.53103222790461,4.51386052762716,2.61265286345983,0.0776097215258269,1.55876535109691,6.38226686236401,3.28452958048849,0.233350851925587,5.29277741940582,-3.23175525980468,3.48269934660537,-1.65567817132624,2.63950086741507,4.31265632108645,2.29995820158759,4.04052562048498,2.54112023459901,0.171727804319251,0.732817362383404,-4.87669951148668,3.25192968960099,3.08121409177993,1.44283899594772,4.92501626613365,5.95126752185425,2.7407030765553,3.04093411780532,5.40177366313764,4.02169956934696,2.76637472444312,1.69770617447126,3.90523188830374,3.4855254458833,2.96175189057262,1.95595523257681,3.08081204860302,5.03797633253359,2.69425119077958,4.55645576119266,5.91403049920923,-2.03730355528928,-2.0750776370362,1.76337788459102,2.73752675292138,3.2270253286557,2.11964625809949,3.83373990192313,1.2006433928164,4.88050354712269,4.54823773033304,3.35382362724066,4.63115208093821,3.61932819192841,1.55413364090371,2.71673872828888
